municipality_code,municipality_name,municipality_type,district_name,subdistrict_name,cluster,total_population,num_localities,localities
3611,קריית ארבע,מועצה מקומית,אזור יהודה ושומרון,חברון,אשכול יהודה ושומרון,7572,1,"[{""locality_code"": 3611, ""locality_name_he"": ""קריית ארבע"", ""locality_name_en"": ""Qiryat Arba"", ""population"": 7572}]"
2300,קריית טבעון,מועצה מקומית,חיפה,חיפה,אשכול רשויות המפרץ,18697,1,"[{""locality_code"": 2300, ""locality_name_he"": ""קריית טבעון"", ""locality_name_en"": ""Qiryat Tiv'on"", ""population"": 18697}]"
1137,קריית יערים,מועצה מקומית,ירושלים,ירושלים,ללא שיוך לאשכול,7371,1,"[{""locality_code"": 1137, ""locality_name_he"": ""קריית יערים"", ""locality_name_en"": ""Qiryat Ye'arim"", ""population"": 7371}]"
469,קריית עקרון,מועצה מקומית,המרכז,רחובות,אשכול רשויות שורק דרומי,11288,1,"[{""locality_code"": 469, ""locality_name_he"": ""קריית עקרון"", ""locality_name_en"": ""Qiryat Eqron"", ""population"": 11288}]"
3640,קרני שומרון,מועצה מקומית,אזור יהודה ושומרון,טול כרם,אשכול יהודה ושומרון,10354,1,"[{""locality_code"": 3640, ""locality_name_he"": ""קרני שומרון"", ""locality_name_en"": ""Qarne Shomeron"", ""population"": 10354}]"
543,ראמה,מועצה מקומית,הצפון,עכו,אשכול רשויות בית הכרם הגלילי,8413,1,"[{""locality_code"": 543, ""locality_name_he"": ""ראמה"", ""locality_name_en"": ""Rame"", ""population"": 8413}]"
26,ראש פינה,מועצה מקומית,הצפון,צפת,אשכול רשויות גליל מזרחי,3375,1,"[{""locality_code"": 26, ""locality_name_he"": ""ראש פינה"", ""locality_name_en"": ""Rosh Pinna"", ""population"": 3375}]"
542,ריינה,מועצה מקומית,הצפון,יזרעאל,אשכול רשויות הגליל והעמקים,17513,1,"[{""locality_code"": 542, ""locality_name_he"": ""ריינה"", ""locality_name_en"": ""Reine"", ""population"": 17513}]"
922,רכסים,מועצה מקומית,חיפה,חיפה,אשכול רשויות המפרץ,14645,1,"[{""locality_code"": 922, ""locality_name_he"": ""רכסים"", ""locality_name_en"": ""Rekhasim"", ""population"": 14645}]"
122,רמת ישי,מועצה מקומית,הצפון,יזרעאל,ללא שיוך לאשכול,8009,1,"[{""locality_code"": 122, ""locality_name_he"": ""רמת ישי"", ""locality_name_en"": ""Ramat Yishay"", ""population"": 8009}]"
913,שבלי - אום אל-גנם,מועצה מקומית,הצפון,יזרעאל,אשכול רשויות הכנרת והעמקים,6402,1,"[{""locality_code"": 913, ""locality_name_he"": ""שבלי - אום אל-גנם"", ""locality_name_en"": ""Shibli-Umm Al-Ghanam"", ""population"": 6402}]"
